COUNTRY,CANRAT,GDPPER,URBPOP,PATRES,RNDGDP,POPGRO,LIFEXP,TUBINC,DTHCMD,AGRLND,GHGEMI,RELOUT,METEMI,FORARE,CO2EMI,PM2EXP,POPDEN,ENRTER,GDPCAP,HDICAT,EPISCO
Trinidad and Tobago,Low,55090.68649,53.214,1,0.064340003,-0.119021693,74.406,17,6.977217707,10.52631579,26480.71295,,6667.330375,44.48148148,10.15711917,100,295.9350877,,13871.79822,VH,47.8
Paraguay,Low,29018.70992,62.183,14,0.156969994,1.34872957,73.182,45,13.95406885,42.30843192,50784.02825,99.99820608,30106.5439,40.52922225,1.144591192,99.05830825,16.65918701,,5353.348045,H,40.9
Bahamas,Low,53047.70567,83.245,,,0.471994445,72.677,8.8,10.71019256,1.298701299,2801.144379,,223.17922,50.93506494,6.042251477,99.99999999,40.60649351,,23998.26802,VH,56.2
Costa Rica,Low,49357.30708,80.771,12,,0.755771068,79.277,9.7,7.128495366,34.97845672,14405.0866,99.00110988,4650.441149,59.43732863,1.35999555,99.68879337,100.334998,,12179.25667,VH,46.3
Colombia,Low,32117.50317,81.425,369,0.289330006,1.470102032,74.769,34,10.33977341,39.7046219,186999.3355,68.23681122,77156.40012,53.30501127,1.552259423,92.10462898,45.90415683,55.73310852,5304.289129,H,42.4
Venezuela,Low,,88.279,,,-1.674985598,71.095,44,15.56175006,24.37503543,194259.7019,63.6950421,97594.23488,52.41301514,2.545027978,99.93366243,32.30026983,,,M,46.4
Chile,Low,57356.87288,87.727,372,,1.360643634,79.377,14,7.111620873,14.74605397,106722.3342,43.60433496,11795.5356,24.49215367,4.395151064,97.66301771,25.95761178,89.11248779,13165.38634,VH,46.7
Guam,Low,,94.938,,,0.359326133,76.612,39,,29.62962963,,,,51.85185185,,83.33333333,313.3907407,,34780.86166,,
Peru,Low,23849.77225,78.297,125,0.17193,1.451402401,73.665,117,17.537581,19.52889844,89865.35382,52.73051336,31679.81165,56.50810156,1.398566019,99.96292629,26.01934063,,6063.62658,H,39.8
Saint Lucia,Low,27035.17209,18.841,,,0.36554733,73.416,2.2,7.9406532,16.29508197,850.806942,,272.859517,34.04918033,2.785139229,100,293.8311475,16.90415001,8458.075063,H,49.4
Dominican Republic,Low,40896.5258,82.54,10,,1.076552247,72.889,41,12.57576408,51.10349035,37052.66519,11.63244298,9243.113873,45.10950748,2.080181722,99.91344262,231.4208411,58.77322006,7167.914932,H,42.2
Fiji,Low,28870.18159,57.247,,,0.21284622,67.924,66,9.350539618,17.05528188,1764.367631,45.01588482,443.648987,62.39846743,1.117096288,82.80318235,50.37887247,,4864.106008,H,31.3
Suriname,Low,43116.97848,66.149,,,1.120467326,72.561,29,11.81466259,0.512820513,4312.425111,60.05314438,1415.671617,97.41211538,4.285076557,100,3.891442308,,4796.533314,H,45.9
Kazakhstan,Low,54460.6836,57.671,803,0.126019999,1.298635325,71.37,66,5.124694704,79.26925214,294805.9457,8.874027877,69749.45146,1.279653295,11.29774331,87.41423053,6.947314887,64.84986115,9121.636402,VH,40.9
Laos,Low,19908.63256,36.29,,,1.47745666,68.497,149,25.64050373,8.79982669,30491.44478,86.36999958,8011.314315,71.9042461,2.620283441,100,31.71316724,12.58433437,2593.355097,M,30.7
Thailand,Low,30315.18954,51.43,863,1.330250025,0.235182865,79.274,144,13.90396992,45.55168373,433773.458,8.538478848,75892.78006,38.89878447,3.714255806,100,139.9042142,48.01493073,7001.785413,VH,38.1
Philippines,Low,21090.49783,47.408,476,,1.626632905,72.119,533,24.28166467,42.45564611,224971.7625,25.41346632,65722.00682,24.10903176,1.189679452,96.37065877,376.2651407,32.84725571,3224.422811,M,28.9
North Korea,Low,,62.381,6937,,0.4340173,73.274,513,12.79434412,21.55136617,76079.90868,72.79609813,18145.48138,50.07964455,2.027148619,100,214.8282286,,,,
Egypt,Low,46941.16085,42.783,978,0.962180018,1.733129572,70.99,11,9.628460813,3.989150635,299778.6515,8.259285514,64402.91925,0.045185594,1.961122572,100,107.9563353,40.01293945,3571.556907,H,35.5
Lebanon,Low,49246.94112,88.925,,,-2.079336906,77.804,13,5.553377481,66.20723363,28947.43775,2.603826919,3459.013432,14.01075269,3.792193537,100,553.5604106,51.6985817,5599.957523,H,32.2
Jordan,Low,42506.64577,91.418,36,,2.127362818,75.184,4.6,10.01022905,11.58862085,33146.35261,0.967708005,6678.095787,1.098047165,1.919172426,100,123.0794986,32.66852951,3987.650174,H,43.6
Mauritius,Low,45960.23254,40.76,6,0.403239995,0.00229068,74.17707317,12,7.264399218,43.0645969,6435.739403,22.72272272,1973.725821,19.41412118,2.938514108,100,633.9579369,42.78414917,9005.462022,VH,44.8
Ecuador,Low,24972.43857,64.166,33,,1.401904626,72.153,44,12.33679297,21.82315993,68056.47202,52.80294232,27460.31312,50.32142857,1.957575349,98.31562394,70.81895233,57.93766022,5645.19929,H,46.5
